case_id,account_code,industry_code,solution_code,title,theme,customer_pain,observed_revenue,duration_months,outcome,period_hint,delivery_model
fin-dwh-compliance,ACC-001-01,IND-001,SOL-002,Financial Compliance Data Platform,regulatory_reporting;data_governance;risk_control,Basel/FSA reporting pressure;Fragmented risk data marts,120899999,11,won,1,hybrid
fin-cloud-security,ACC-001-02,IND-001,SOL-004,Financial Cloud Security Landing Zone,cloud_migration;security;regulated_workload,Cloud adoption blocked by security review;Weak landing-zone controls,55000000,8,won,2,internal
fin-crm-wealth,ACC-001-03,IND-001,SOL-001,Wealth CRM Modernization,crm;customer_360;advisor_productivity,Advisor activity scattered across tools;Low campaign conversion,58850000,6,won,3,internal
fin-analytics-risk,ACC-001-04,IND-001,SOL-005,Risk Analytics Enablement,analytics;risk_modeling;data_science,Manual portfolio risk analysis;Slow model validation cycles,62700000,7,won,4,internal
mfg-erp-core,ACC-002-01,IND-002,SOL-003,Manufacturing Core ERP Renewal,erp;core_operations;process_standardization,Legacy MRP/ERP fragmentation;Plant-level process variance,111800000,12,won,5,hybrid
mfg-cloud-factory,ACC-002-02,IND-002,SOL-004,Factory Cloud Foundation,cloud_migration;factory_iot;edge_operations,Factory systems lack cloud connectivity;Unstable edge operations,51150000,6,won,6,internal
mfg-dwh-supply-chain,ACC-002-03,IND-002,SOL-002,Supply Chain Data Warehouse,dwh;supply_chain;inventory_visibility,Low inventory visibility;Manual supply planning reports,55000000,7,won,7,internal
mfg-analytics-quality,ACC-002-04,IND-002,SOL-005,Quality Analytics Pilot,analytics;quality_control;pilot,Defect root-cause analysis is manual;Quality data is siloed,19260000,4,won,8,internal
retail-crm-loyalty,ACC-003-01,IND-003,SOL-001,Retail Loyalty CRM,crm;loyalty;customer_retention,Loyalty data split across channels;Retention actions are not personalized,62700000,6,won,9,internal
retail-analytics-personalization,ACC-003-02,IND-003,SOL-005,Personalization Analytics Platform,analytics;personalization;customer_analytics,Low recommendation relevance;Limited customer segmentation,47300000,7,won,10,internal
retail-cloud-ecommerce,ACC-003-03,IND-003,SOL-004,E-commerce Cloud Modernization,cloud_migration;ecommerce;scalability,Traffic spikes cause incidents;Release cycles are slow,51150000,8,won,11,internal
retail-erp-store,ACC-003-04,IND-003,SOL-003,Store ERP Integration,erp;store_operations;inventory,Store inventory updates lag;Back-office work is duplicated,18000000,3,won,12,internal
healthcare-cloud-platform,ACC-004-01,IND-004,SOL-004,Healthcare Cloud Platform,cloud_migration;security;patient_data,Patient data platform needs secure modernization;Legacy infrastructure limits scale,139100000,11,won,1,hybrid
healthcare-dwh-research,ACC-004-02,IND-004,SOL-002,Research Data Warehouse,dwh;research_data;analytics,Research data cannot be reused quickly;Slow cohort extraction,62700000,8,won,2,internal
healthcare-crm-patient,ACC-004-03,IND-004,SOL-001,Patient Engagement CRM,crm;patient_experience;contact_center,Patient communication is fragmented;Contact center history is incomplete,47300000,6,won,3,internal
healthcare-analytics-ops,ACC-004-04,IND-004,SOL-005,Healthcare Operations Analytics,analytics;operations;capacity_planning,Operational bottlenecks are hard to forecast;Manual capacity reports,51150000,7,won,4,internal
public-cloud-migration,ACC-005-01,IND-005,SOL-004,Public Sector Cloud Migration,cloud_migration;public_sector;security,Legacy government systems need migration;Compliance review is strict,130000000,12,won,5,hybrid
public-erp-modernization,ACC-005-02,IND-005,SOL-003,Public ERP Modernization,erp;public_sector;procurement,Procurement and finance processes are fragmented;Legacy ERP support risk,139100000,10,won,6,hybrid
public-dwh-open-data,ACC-005-03,IND-005,SOL-002,Open Data Warehouse,dwh;open_data;citizen_service,Open data publication is manual;Data quality rules vary by department,62700000,7,won,7,internal
public-crm-citizen,ACC-005-04,IND-005,SOL-001,Citizen Service CRM,crm;citizen_service;case_management,Citizen inquiries are split across channels;Case resolution tracking is weak,47300000,8,won,8,internal
fin-crm-adoption,ACC-001-03,IND-001,SOL-001,Wealth CRM Adoption Program,crm;adoption;customer_success;renewal,New CRM usage is inconsistent across advisors;Renewal expansion motions are weak,38000000,6,won,9,internal
mfg-partner-enablement,ACC-002-01,IND-002,SOL-003,Manufacturing Partner Enablement,partner_enablement;sales_ops;erp_rollout,Regional partners lack standardized sales playbooks;ERP rollout messaging is inconsistent,42000000,7,won,10,internal
retail-customer-success,ACC-003-01,IND-003,SOL-001,Retail Customer Success Expansion,customer_success;loyalty;renewal;upsell,Loyalty platform value is not translating into renewals;Store teams need adoption support,35000000,6,won,11,internal
healthcare-service-operations,ACC-004-01,IND-004,SOL-004,Healthcare Service Operations Runbook,service_operations;runbook;sla;incident_management,Cloud platform support is reactive;Incident handling and SLA reporting are immature,46000000,8,won,12,internal
public-account-growth,ACC-005-04,IND-005,SOL-001,Public Account Growth Program,account_growth;citizen_service;pipeline_management,Stakeholder buying centers are fragmented;Expansion pipeline is not systematically managed,33000000,6,won,1,internal
fin-sales-enablement-pod,ACC-001-01,IND-001,SOL-001,Financial Sales Enablement Pod,sales_enablement;pipeline_hygiene;crm_adoption,Relationship managers need better pipeline hygiene;CRM activity quality is uneven,26000000,5,won,2,internal
mfg-test-migration-factory,ACC-002-03,IND-002,SOL-002,Manufacturing Test and Migration Factory,testing_factory;data_preparation;migration_support,Data migration defects are found late;Testing throughput depends on senior engineers,34000000,6,won,3,internal
retail-digital-delivery-pod,ACC-003-03,IND-003,SOL-004,Retail Digital Delivery Pod,delivery_pod;api_support;qa_support,E-commerce delivery queue has many small enhancements;API and QA work needs junior delivery capacity,31000000,6,won,4,internal
healthcare-analyst-enablement,ACC-004-04,IND-004,SOL-005,Healthcare Analyst Enablement,analyst_enablement;requirements_support;dashboard_support,Operations teams need repeatable analyst support;Dashboard backlog is fragmented,28000000,5,won,5,internal
public-documentation-uat-pod,ACC-005-04,IND-005,SOL-001,Public Documentation and UAT Pod,uat_support;documentation;citizen_service_rollout,UAT evidence and user documentation require structured support;Citizen service rollout needs hands-on coordination,24000000,5,won,6,internal
