source_case_id,target_case_id,relation_type
fin-dwh-compliance,fin-cloud-security,can_expand_to
fin-cloud-security,fin-crm-wealth,can_expand_to
fin-crm-wealth,fin-analytics-risk,can_expand_to
mfg-erp-core,mfg-cloud-factory,can_expand_to
mfg-cloud-factory,mfg-dwh-supply-chain,can_expand_to
mfg-dwh-supply-chain,mfg-analytics-quality,can_expand_to
retail-crm-loyalty,retail-analytics-personalization,can_expand_to
retail-analytics-personalization,retail-cloud-ecommerce,can_expand_to
retail-cloud-ecommerce,retail-erp-store,can_expand_to
healthcare-cloud-platform,healthcare-dwh-research,can_expand_to
healthcare-dwh-research,healthcare-crm-patient,can_expand_to
healthcare-crm-patient,healthcare-analytics-ops,can_expand_to
public-cloud-migration,public-erp-modernization,can_expand_to
public-erp-modernization,public-dwh-open-data,can_expand_to
public-dwh-open-data,public-crm-citizen,can_expand_to
fin-crm-wealth,fin-crm-adoption,can_expand_to
mfg-erp-core,mfg-partner-enablement,can_expand_to
retail-crm-loyalty,retail-customer-success,can_expand_to
healthcare-cloud-platform,healthcare-service-operations,can_expand_to
public-crm-citizen,public-account-growth,can_expand_to
fin-crm-adoption,fin-sales-enablement-pod,can_expand_to
mfg-dwh-supply-chain,mfg-test-migration-factory,can_expand_to
retail-cloud-ecommerce,retail-digital-delivery-pod,can_expand_to
healthcare-analytics-ops,healthcare-analyst-enablement,can_expand_to
public-crm-citizen,public-documentation-uat-pod,can_expand_to
