case_id,phase,role_code,headcount,allocation_percentage,phase_start_month,phase_end_month,training_headcount,role_phase_training_max_skill_gap
fin-dwh-compliance,discovery,ROLE-PMO-03,1,30,1,4,0,0
fin-dwh-compliance,discovery,ROLE-CON-02,1,30,1,4,1,3
fin-dwh-compliance,build,ROLE-ENG-02,2,40,3,9,0,0
fin-dwh-compliance,build,ROLE-ENG-03,2,40,3,9,0,0
fin-dwh-compliance,build,ROLE-ENG-03,1,40,3,9,0,0
fin-dwh-compliance,build,ROLE-ENG-01,1,40,3,9,0,0
fin-dwh-compliance,transition,ROLE-PMO-02,1,30,8,11,0,0
fin-cloud-security,discovery,ROLE-PMO-02,1,30,1,3,0,0
fin-cloud-security,build,ROLE-ENG-03,2,38,2,7,0,0
fin-cloud-security,build,ROLE-ENG-03,2,38,2,7,0,0
fin-cloud-security,build,ROLE-ENG-03,2,38,2,7,0,0
fin-cloud-security,discovery,ROLE-CON-01,1,30,1,3,1,3
fin-cloud-security,build,ROLE-ENG-01,1,38,2,7,0,0
fin-crm-wealth,discovery,ROLE-PMO-02,1,30,1,2,0,0
fin-crm-wealth,discovery,ROLE-CON-02,1,30,1,2,1,6
fin-crm-wealth,discovery,ROLE-CON-02,1,30,1,2,1,3
fin-crm-wealth,build,ROLE-ENG-01,2,38,2,5,0,0
fin-crm-wealth,build,ROLE-ENG-01,2,38,2,5,0,0
fin-crm-wealth,build,ROLE-ENG-01,1,38,2,5,0,0
fin-crm-wealth,discovery,ROLE-CON-01,1,30,1,2,1,3
fin-analytics-risk,discovery,ROLE-CON-01,1,30,1,3,1,3
fin-analytics-risk,build,ROLE-ENG-02,2,38,2,6,0,0
fin-analytics-risk,build,ROLE-ENG-03,1,38,2,6,0,0
fin-analytics-risk,transition,ROLE-CON-03,1,30,5,7,0,0
fin-analytics-risk,discovery,ROLE-PMO-02,1,30,1,3,0,0
fin-analytics-risk,build,ROLE-ENG-01,1,38,2,6,0,0
mfg-erp-core,discovery,ROLE-PMO-03,1,30,1,4,0,0
mfg-erp-core,discovery,ROLE-CON-02,2,30,1,4,1,3
mfg-erp-core,transition,ROLE-CON-02,1,30,9,12,0,0
mfg-erp-core,build,ROLE-ENG-01,2,40,3,10,0,0
mfg-erp-core,build,ROLE-ENG-02,1,40,3,10,0,0
mfg-erp-core,discovery,ROLE-PMO-02,1,30,1,4,0,0
mfg-erp-core,transition,ROLE-PMO-02,1,30,9,12,0,0
mfg-cloud-factory,build,ROLE-ENG-03,2,38,2,5,0,0
mfg-cloud-factory,build,ROLE-ENG-03,2,38,2,5,0,0
mfg-cloud-factory,transition,ROLE-PMO-04,2,30,5,6,0,0
mfg-cloud-factory,transition,ROLE-PMO-04,1,30,5,6,0,0
mfg-cloud-factory,discovery,ROLE-PMO-02,1,30,1,2,0,0
mfg-cloud-factory,build,ROLE-ENG-01,1,38,2,5,0,0
mfg-dwh-supply-chain,discovery,ROLE-CON-01,1,30,1,3,1,3
mfg-dwh-supply-chain,build,ROLE-ENG-02,2,38,2,6,0,0
mfg-dwh-supply-chain,build,ROLE-ENG-02,2,38,2,6,0,0
mfg-dwh-supply-chain,discovery,ROLE-PMO-02,1,30,1,3,0,0
